Node_ID,,context,1,1.1,1.1.1,1.1.2,1.1.2.1,1.1.2.2,1.2,1.2.1,1.2.1.1,1.2.1.2,1.2.2,1.3,context,2,2.1,2.1.1,2.1.2,2.1.3,2.2,2.2.1,2.2.2,2.2.2.1,2.2.2.2,2.2.3,2.2.3.1,2.2.3.2,context,3.1,3.2,3.3,3.4,4,4.1,4.1.1,4.1.1.1,4.1.1.2,4.2,4.2.1,4.2.1.1,4.2.1.2,4.3,4.3.1,4.3.2,4.3.3,5,5.1,5.1.1,5.1.2,5.2,5.2.1,5.2.2
,Node,Focus,Focus,Objective,Material Object,Immaterial,Factual,Opinion Perspective,Subjective,Abstract,Positive,Negative,Creative,General Universal,Spatial,Spatial,Space,Near Close,Distant Far,Location,Time,Present,Past,Near,Distant,Future,Near,Distant,Action,current/occuring,past tense,future tense,rest/stop,Identity,    Self,        Related,          Close,          Distant ,    Species,        Related,          Close,          Distant ,    Gender,        Female,        Male,        Other,Quantitative,Single,Positive,Negative,Multiple,Positive,Negative
context,Focus,A focus,A Focus ,that is an objective focus,and is on a material object ,that is immaterial ,and factual,and is an opinion or perspective,that is subjective focus ,that is an abstract subjective focus ,and is positive,and is negative ,that is a creative subjective focus,that is a general or universal focus ,In time or space ,in Time or Space ,that is in a space ,that is close or near,that is distant or far,in a specific location,in a time ,that is in the present or occuring now,that is in the past,", the near past or recently",", the distant past",that is in the future,", the near future",", the distant future",An Action Sequence,that is currently occuring  ,that has already occured ,that will occur ,that is resting or stopped ,An  Identity,that is the self,that is related to the self,that is closely related to the self,that is distantly related to the self, that is a species,that is related to a species,that is related closely to a species,that is distantly related to a species,of a gender,of a gender that is female,of a gender that is male,of a gender that is other than male or female,in an amount,that is a single amount,and is positive.,and is negative.,that is multiple amounts,and is positive,and is negative
1,Focus,A Focus ,Specifically or in particular,A Focus that is an objective focus ,,,,,A Focus that is subjective focus ,A Focus that is an abstract subjective focus ,A Focus that is subjective focus that is an abstract subjective focus and positive ,A Focus that is subjective focus that is an abstract subjective focus and negative ,A Focus that is subjective focus that is creative ,A Focus that is a general or universal focus ,with a focus ,in Time or Space with a focus ,in Time or Space with a focus that is in a space ,in Time or Space with a focus that is in a space that is close or near,in Time or Space with a focus that is in a space that is distant or far,in Time or Space with a focus that is in a space in a specific location,in Time or Space with a focus in a time ,in Time or Space with a focus in a time that is in the present or occuring now,in Time or Space with a focus in a time that is in the past,"in Time or Space with a focus in a time that is in the past, the near past or recently","in Time or Space with a focus in a time that is in the past, the distant past",in Time or Space with a focus in a time that is in the future,"in Time or Space with a focus in a time that is in the future, the near future","in Time or Space with a focus in a time that is in the future, the distant future",A focus on an action ,A focus on an action that is currently occuring  ,A focus on an action that has already occured ,A focus on an action that will occur ,A focus on an action that is resting or stopped ,A focus of an identity ,A focus of an identity that is the self,A focus of an identity that is related to the self,A focus of an identity that is the selfthat is closely related to the self,A focus of an identity that is related to the selfthat is distantly related to the self,A focus of an identity that is the selfthat is closely related to the self that is a species,A focus of an identity that is related to the selfthat is distantly related to the selfthat is related to a species,A focus of an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a species,A focus of an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a species,A focus of an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a gender,A focus of an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is female,A focus of an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a genderof a gender that is male,A focus of an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is femaleof a gender that is other than male or female,A Focus in an amount,A Focus in an amount that is a single amount,A Focus in an amount that is a single amount and is positive.,A Focus in an amount that is a single amount and is negative.,A Focus in an amount that is multiple amounts,A Focus in an amount that is multiple amounts and is positive,A Focus in an amount that is multiple amounts and is negative
1.1,  Objective,that is an objective focus ,A Focus that is an objective focus ,An objective focus on an objective focus,A Focus that is an objective focus and is on a material object ,A Focus that is an objective focus that is immaterial ,A Focus that is an objective focus and factual ,A Focus that is an objective focus and an opinion or perspective ,,,,,,,on an objective focus ,in Time or Space with a focus on an objective focus ,in Time or Space with a focus on an objective focus that is in a space ,in Time or Space with a focus on an objective focus that is in a space that is close or near,in Time or Space with a focus on an objective focus that is in a space that is distant or far,in Time or Space with a focus on an objective focus that is in a space in a specific location,in Time or Space with a focus on an objective focus in a time ,in Time or Space with a focus on an objective focus in a time that is in the present or occuring now,in Time or Space with a focus on an objective focus in a time that is in the past,"in Time or Space with a focus on an objective focus in a time that is in the past, the near past or recently","in Time or Space with a focus on an objective focus in a time that is in the past, the distant past",in Time or Space with a focus on an objective focus in a time that is in the future,"in Time or Space with a focus on an objective focus in a time that is in the future, the near future","in Time or Space with a focus on an objective focus in a time that is in the future, the distant future",An action involving an objective focus ,An action involving an objective focus that is currently occuring  ,An action involving an objective focus that has already occured ,An action involving an objective focus that will occur ,An action involving an objective focus that is resting or stopped ,An objective focus of an identity ,An objective focus of an identity that is the self,An objective focus of an identity that is related to the self,An objective focus of an identity that is the selfthat is closely related to the self,An objective focus of an identity that is related to the selfthat is distantly related to the self,An objective focus of an identity that is the selfthat is closely related to the self that is a species,An objective focus of an identity that is related to the selfthat is distantly related to the selfthat is related to a species,An objective focus of an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a species,An objective focus of an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a species,An objective focus of an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a gender,An objective focus of an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is female,An objective focus of an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a genderof a gender that is male,An objective focus of an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is femaleof a gender that is other than male or female,A Focus that is an objective focus in an amount,A Focus that is an objective focus in an amount that is a single amount,A Focus that is an objective focus in an amount that is a single amount and is positive.,A Focus that is an objective focus in an amount that is a single amount and is negative.,A Focus that is an objective focus in an amount that is multiple amounts,A Focus that is an objective focus in an amount that is multiple amounts and is positive,A Focus that is an objective focus in an amount that is multiple amounts and is negative
1.1.1,    Material Object,and is on a material object ,A Focus that is an objective focus and is on a material object ,A Focus that is an objective focus     Material Object,two parts of a material object,,,,,,,,,,that is a material object ,in Time or Space with a focus on an objective focus that is a material object ,in Time or Space with a focus on an objective focus that is a material object that is in a space ,in Time or Space with a focus on an objective focus that is a material object that is in a space that is close or near,in Time or Space with a focus on an objective focus that is a material object that is in a space that is distant or far,in Time or Space with a focus on an objective focus that is a material object that is in a space in a specific location,in Time or Space with a focus on an objective focus that is a material object in a time ,in Time or Space with a focus on an objective focus that is a material object in a time that is in the present or occuring now,in Time or Space with a focus on an objective focus that is a material object in a time that is in the past,"in Time or Space with a focus on an objective focus that is a material object in a time that is in the past, the near past or recently","in Time or Space with a focus on an objective focus that is a material object in a time that is in the past, the distant past",in Time or Space with a focus on an objective focus that is a material object in a time that is in the future,"in Time or Space with a focus on an objective focus that is a material object in a time that is in the future, the near future","in Time or Space with a focus on an objective focus that is a material object in a time that is in the future, the distant future",An action involving a material object ,An action involving a material object that is currently occuring  ,An action involving a material object that has already occured ,An action involving a material object that will occur ,An action involving a material object that is resting or stopped ,An objective focus that is a material object possessed by an identity ,An objective focus that is a material object possessed by an identity that is the self,An objective focus that is a material object possessed by an identity that is related to the self,An objective focus that is a material object possessed by an identity that is the selfthat is closely related to the self,An objective focus that is a material object possessed by an identity that is related to the selfthat is distantly related to the self,An objective focus that is a material object possessed by an identity that is the selfthat is closely related to the self that is a species,An objective focus that is a material object possessed by an identity that is related to the selfthat is distantly related to the selfthat is related to a species,An objective focus that is a material object possessed by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a species,An objective focus that is a material object possessed by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a species,An objective focus that is a material object possessed by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a gender,An objective focus that is a material object possessed by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is female,An objective focus that is a material object possessed by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a genderof a gender that is male,An objective focus that is a material object possessed by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is femaleof a gender that is other than male or female,A Focus that is an objective focus and is on a material object in an amount,A Focus that is an objective focus and is on a material object in an amount that is a single amount,A Focus that is an objective focus and is on a material object in an amount that is a single amount and is positive.,A Focus that is an objective focus and is on a material object in an amount that is a single amount and is negative.,A Focus that is an objective focus and is on a material object in an amount that is multiple amounts,A Focus that is an objective focus and is on a material object in an amount that is multiple amounts and is positive,A Focus that is an objective focus and is on a material object in an amount that is multiple amounts and is negative
1.1.2,    Immaterial,that is immaterial ,A Focus that is an objective focus that is immaterial ,A Focus that is an objective focus that is immaterial ,,two parts of an immaterial concept,,,,,,,,,that is immaterial ,in Time or Space with a focus on an objective focus that is immaterial ,in Time or Space with a focus on an objective focus that is immaterial that is in a space ,in Time or Space with a focus on an objective focus that is immaterial that is in a space that is close or near,in Time or Space with a focus on an objective focus that is immaterial that is in a space that is distant or far,in Time or Space with a focus on an objective focus that is immaterial that is in a space in a specific location,in Time or Space with a focus on an objective focus that is immaterial in a time ,in Time or Space with a focus on an objective focus that is immaterial in a time that is in the present or occuring now,in Time or Space with a focus on an objective focus that is immaterial in a time that is in the past,"in Time or Space with a focus on an objective focus that is immaterial in a time that is in the past, the near past or recently","in Time or Space with a focus on an objective focus that is immaterial in a time that is in the past, the distant past",in Time or Space with a focus on an objective focus that is immaterial in a time that is in the future,"in Time or Space with a focus on an objective focus that is immaterial in a time that is in the future, the near future","in Time or Space with a focus on an objective focus that is immaterial in a time that is in the future, the distant future",An action involving a focus that is immaterial ,An action involving a focus that is immaterial that is currently occuring  ,An action involving a focus that is immaterial that has already occured ,An action involving a focus that is immaterial that will occur ,An action involving a focus that is immaterial that is resting or stopped ,An objective focus that is immaterial experienced by an identity ,An objective focus that is immaterial experienced by an identity that is the self,An objective focus that is immaterial experienced by an identity that is related to the self,An objective focus that is immaterial experienced by an identity that is the selfthat is closely related to the self,An objective focus that is immaterial experienced by an identity that is related to the selfthat is distantly related to the self,An objective focus that is immaterial experienced by an identity that is the selfthat is closely related to the self that is a species,An objective focus that is immaterial experienced by an identity that is related to the selfthat is distantly related to the selfthat is related to a species,An objective focus that is immaterial experienced by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a species,An objective focus that is immaterial experienced by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a species,An objective focus that is immaterial experienced by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a gender,An objective focus that is immaterial experienced by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is female,An objective focus that is immaterial experienced by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a genderof a gender that is male,An objective focus that is immaterial experienced by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is femaleof a gender that is other than male or female,A Focus that is an objective focus that is immaterial in an amount,A Focus that is an objective focus that is immaterial in an amount that is a single amount,A Focus that is an objective focus that is immaterial in an amount that is a single amount and is positive.,A Focus that is an objective focus that is immaterial in an amount that is a single amount and is negative.,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts and is positive,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts and is negative
1.1.2.1,        Factual,and factual ,A Focus that is an objective focus that is immaterial and factual ,A Focus that is an objective focus and factual ,,A Focus that is an objective focus that is immaterial and factual ,A factual statement describing a subjective immaterial factual concept,,,,,,,,and factual ,in Time or Space with a focus on an objective focus that is immaterial and factual ,in Time or Space with a focus on an objective focus that is immaterial and factual that is in a space ,in Time or Space with a focus on an objective focus that is immaterial and factual that is in a space that is close or near,in Time or Space with a focus on an objective focus that is immaterial and factual that is in a space that is distant or far,in Time or Space with a focus on an objective focus that is immaterial and factual that is in a space in a specific location,in Time or Space with a focus on an objective focus that is immaterial and factual in a time ,in Time or Space with a focus on an objective focus that is immaterial and factual in a time that is in the present or occuring now,in Time or Space with a focus on an objective focus that is immaterial and factual in a time that is in the past,"in Time or Space with a focus on an objective focus that is immaterial and factual in a time that is in the past, the near past or recently","in Time or Space with a focus on an objective focus that is immaterial and factual in a time that is in the past, the distant past",in Time or Space with a focus on an objective focus that is immaterial and factual in a time that is in the future,"in Time or Space with a focus on an objective focus that is immaterial and factual in a time that is in the future, the near future","in Time or Space with a focus on an objective focus that is immaterial and factual in a time that is in the future, the distant future",An action involving a factual immaterial objective focus ,An action involving a factual immaterial objective focus that is currently occuring  ,An action involving a factual immaterial objective focus that has already occured ,An action involving a factual immaterial objective focus that will occur ,An action involving a factual immaterial objective focus that is resting or stopped ,An objective focus that is immaterial and factual experienced by an identity ,An objective focus that is immaterial and factual experienced by an identity that is the self,An objective focus that is immaterial and factual experienced by an identity that is related to the self,An objective focus that is immaterial and factual experienced by an identity that is the selfthat is closely related to the self,An objective focus that is immaterial and factual experienced by an identity that is related to the selfthat is distantly related to the self,An objective focus that is immaterial and factual experienced by an identity that is the selfthat is closely related to the self that is a species,An objective focus that is immaterial and factual experienced by an identity that is related to the selfthat is distantly related to the selfthat is related to a species,An objective focus that is immaterial and factual experienced by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a species,An objective focus that is immaterial and factual experienced by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a species,An objective focus that is immaterial and factual experienced by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a gender,An objective focus that is immaterial and factual experienced by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is female,An objective focus that is immaterial and factual experienced by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a genderof a gender that is male,An objective focus that is immaterial and factual experienced by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is femaleof a gender that is other than male or female,A Focus that is an objective focus that is immaterial in an amount and factual,A Focus that is an objective focus that is immaterial in an amount that is a single amount and factual,A Focus that is an objective focus that is immaterial in an amount that is a single amount and is positive. and factual,A Focus that is an objective focus that is immaterial in an amount that is a single amount and is negative. and factual,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts and factual,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts and is positive and factual,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts and is negative and factual
1.1.2.2,        Opinion Perspective,and an opinion or perspective ,A Focus that is an objective focus that is immaterial and an opinion or perspective ,A Focus that is an objective focus and an opinion or perspective ,,A Focus that is an objective focus that is immaterial and an opinion or perspective ,,An opinion or perspective focused on an opinion or perspective,,,,,,,and an opinion or perspective ,in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective ,in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective that is in a space ,in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective that is in a space that is close or near,in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective that is in a space that is distant or far,in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective that is in a space in a specific location,in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective in a time ,in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective in a time that is in the present or occuring now,in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective in a time that is in the past,"in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective in a time that is in the past, the near past or recently","in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective in a time that is in the past, the distant past",in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective in a time that is in the future,"in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective in a time that is in the future, the near future","in Time or Space with a focus on an objective focus that is immaterial and an opinion or perspective in a time that is in the future, the distant future",An action involving an opinion or perspective ,An action involving an opinion or perspective that is currently occuring  ,An action involving an opinion or perspective that has already occured ,An action involving an opinion or perspective that will occur ,An action involving an opinion or perspective that is resting or stopped ,An objective focus that is immaterial and an opinion or perspective experienced by an identity   ,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is the self,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is related to the self,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is the selfthat is closely related to the self,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is related to the selfthat is distantly related to the self,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is the selfthat is closely related to the self that is a species,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is related to the selfthat is distantly related to the selfthat is related to a species,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is the selfthat is closely related to the self that is a speciesthat is related closely to a species,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a species,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a gender,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is female,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a genderof a gender that is male,An objective focus that is immaterial and an opinion or perspective experienced by an identity   that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is femaleof a gender that is other than male or female,A Focus that is an objective focus that is immaterial in an amount and is an opinion or perspective,A Focus that is an objective focus that is immaterial in an amount that is a single amount and is an opinion or perspective,A Focus that is an objective focus that is immaterial in an amount that is a single amount and is positive. and is an opinion or perspective,A Focus that is an objective focus that is immaterial in an amount that is a single amount and is negative. and is an opinion or perspective,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts and is an opinion or perspective,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts and is positive and is an opinion or perspective,A Focus that is an objective focus that is immaterial in an amount that is multiple amounts and is negative and is an opinion or perspective
1.2,    Subjective,that is a subjective focus ,A Focus that is a subjective focus ,,,,,,A subjective focus towards a subjective focus,,,,,,on a subjective focus ,in Time or Space with a focus on a subjective focus ,in Time or Space with a focus on a subjective focus that is in a space ,in Time or Space with a focus on a subjective focus that is in a space that is close or near,in Time or Space with a focus on a subjective focus that is in a space that is distant or far,in Time or Space with a focus on a subjective focus that is in a space in a specific location,in Time or Space with a focus on a subjective focus in a time ,in Time or Space with a focus on a subjective focus in a time that is in the present or occuring now,in Time or Space with a focus on a subjective focus in a time that is in the past,"in Time or Space with a focus on a subjective focus in a time that is in the past, the near past or recently","in Time or Space with a focus on a subjective focus in a time that is in the past, the distant past",in Time or Space with a focus on a subjective focus in a time that is in the future,"in Time or Space with a focus on a subjective focus in a time that is in the future, the near future","in Time or Space with a focus on a subjective focus in a time that is in the future, the distant future",An action involving a subjective focus with a creative value ,An action involving a subjective focus with a creative value that is currently occuring  ,An action involving a subjective focus with a creative value that has already occured ,An action involving a subjective focus with a creative value that will occur ,An action involving a subjective focus with a creative value that is resting or stopped ,"A subjective focus that is witnessed, experienced, or given by an identity ","A subjective focus that is witnessed, experienced, or given by an identity that is the self","A subjective focus that is witnessed, experienced, or given by an identity that is related to the self","A subjective focus that is witnessed, experienced, or given by an identity that is the selfthat is closely related to the self","A subjective focus that is witnessed, experienced, or given by an identity that is related to the selfthat is distantly related to the self","A subjective focus that is witnessed, experienced, or given by an identity that is the selfthat is closely related to the self that is a species","A subjective focus that is witnessed, experienced, or given by an identity that is related to the selfthat is distantly related to the selfthat is related to a species","A subjective focus that is witnessed, experienced, or given by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a species","A subjective focus that is witnessed, experienced, or given by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a species","A subjective focus that is witnessed, experienced, or given by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a gender","A subjective focus that is witnessed, experienced, or given by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is female","A subjective focus that is witnessed, experienced, or given by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a genderof a gender that is male","A subjective focus that is witnessed, experienced, or given by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is femaleof a gender that is other than male or female",A Focus that is subjective focus in an amount,A Focus that is subjective focus in an amount that is a single amount,A Focus that is subjective focus in an amount that is a single amount and is positive.,A Focus that is subjective focus in an amount that is a single amount and is negative.,A Focus that is subjective focus in an amount that is multiple amounts,A Focus that is subjective focus in an amount that is multiple amounts and is positive,A Focus that is subjective focus in an amount that is multiple amounts and is negative
1.2.1,        Abstract,that is an abstract subjective focus ,A Focus that is a subjective focus that is an abstract subjective focus ,,,,,,A Focus that is subjective focus that is an abstract subjective focus ,An abstract subjective focus on a focus that is subjective and abstract,,,,,that is an abstract subjective focus ,in Time or Space with a focus on a subjective focus that is an abstract subjective focus ,in Time or Space with a focus on a subjective focus that is an abstract subjective focus that is in a space ,in Time or Space with a focus on a subjective focus that is an abstract subjective focus that is in a space that is close or near,in Time or Space with a focus on a subjective focus that is an abstract subjective focus that is in a space that is distant or far,in Time or Space with a focus on a subjective focus that is an abstract subjective focus that is in a space in a specific location,in Time or Space with a focus on a subjective focus that is an abstract subjective focus in a time ,in Time or Space with a focus on a subjective focus that is an abstract subjective focus in a time that is in the present or occuring now,in Time or Space with a focus on a subjective focus that is an abstract subjective focus in a time that is in the past,"in Time or Space with a focus on a subjective focus that is an abstract subjective focus in a time that is in the past, the near past or recently","in Time or Space with a focus on a subjective focus that is an abstract subjective focus in a time that is in the past, the distant past",in Time or Space with a focus on a subjective focus that is an abstract subjective focus in a time that is in the future,"in Time or Space with a focus on a subjective focus that is an abstract subjective focus in a time that is in the future, the near future","in Time or Space with a focus on a subjective focus that is an abstract subjective focus in a time that is in the future, the distant future",An action involving an abstract subjective focus ,An action involving an abstract subjective focus that is currently occuring  ,An action involving an abstract subjective focus that has already occured ,An action involving an abstract subjective focus that will occur ,An action involving an abstract subjective focus that is resting or stopped ,"An abstract subjective focus that is witnessed, experienced, or provided by an identity ","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is the self","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is related to the self","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is the selfthat is closely related to the self","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is related to the selfthat is distantly related to the self","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is the selfthat is closely related to the self that is a species","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is related to the selfthat is distantly related to the selfthat is related to a species","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a species","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a species","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a gender","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is female","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is the selfthat is closely related to the self that is a speciesthat is related closely to a speciesof a genderof a gender that is male","An abstract subjective focus that is witnessed, experienced, or provided by an identity that is related to the selfthat is distantly related to the selfthat is related to a speciesthat is distantly related to a speciesof a gender that is femaleof a gender that is other than male or female",A Focus that is subjective focus in an amount that is an abstract subjective focus,A Focus that is subjective focus in an amount that is a single amount that is an abstract subjective focus,A Focus that is subjective focus in an amount that is a single amount and is positive. that is an abstract subjective focus,A Focus that is subjective focus in an amount that is a single amount and is negative. that is an abstract subjective focus,A Focus that is subjective focus in an amount that is multiple amounts that is an abstract subjective focus,A Focus that is subjective focus in an amount that is multiple amounts and is positive that is an abstract subjective focus,A Focus that is subjective focus in an amount that is multiple amounts and is negative that is an abstract subjective focus
