English_Word,Node_Collections,,
unls,Focus -> General/Universal  ||  Focus  ->  Objective  ->  Material Object  ->  Immaterial  ->  Factual  ->  Opinion/Perspective  ||  Subjective,Focus  ->  Abstract  ->  Creative  ||  Spatial  ->  Time  ->  Past  ->  Near  ->  Distant  ->  Present  ->  Future  ->  Near  ->  Distant  ->  Space  ->  Near/Close  ->  Far/Distant  ->  Location  ||  Action  ->  Past Tense/Occurred  ->  Current/Occuring  ->  Future/Forward  ->  Resting/Stopped  ||,Identity  ->  Species  ->  Self  ->  Close Related External  ->  Distant Related External  ->  Gender  ->  Unidentified  ->  Binary  ->  Trans  ->  Female  ->  Male  ||  Quantitative  ->  Singular  ->  Positive  ->  Negative  ->  Multiple  ->  Positive  ->  Negative
,,,
AM,Spatial  ->  Time,,
PM,Spatial  ->  Time,,
January,Spatial	 -> 	Time																														,,
February,Spatial	 -> 	Time																														,,
March,Spatial	 -> 	Time																														,,
April,Spatial	 -> 	Time																														,,
May,Spatial	 -> 	Time																														,,
June,Spatial	 -> 	Time																														,,
July,Spatial	 -> 	Time																														,,
August,Spatial	 -> 	Time																														,,
September,Spatial	 -> 	Time																														,,
November,Spatial	 -> 	Time																														,,
December,Spatial	 -> 	Time																														,,
UTC,Spatial	 -> 	Time																														,,
GMT,Spatial	 -> 	Time																														,,
PST,Spatial	 -> 	Time																														,,
PDT,Spatial	 -> 	Time																														,,
MDT,Spatial	 -> 	Time																														,,
MST,Spatial	 -> 	Time																														,,
CDT,Spatial	 -> 	Time																														,,
CST,Spatial	 -> 	Time																														,,
EDT,Spatial	 -> 	Time																														,,
EST,Spatial	 -> 	Time																														,,
ADT,Spatial	 -> 	Time																														,,
AST,Spatial	 -> 	Time																														,,
HST,Spatial	 -> 	Time																														,,
AKDT,Spatial	 -> 	Time																														,,
AKST,Spatial	 -> 	Time																														,,
CET,Spatial	 -> 	Time																														,,
CEST,Spatial	 -> 	Time																														,,
EET,Spatial	 -> 	Time																														,,
EEST,Spatial	 -> 	Time																														,,
MSK,Spatial	 -> 	Time																														,,
IST,Spatial	 -> 	Time																														,,
JST,Spatial	 -> 	Time																														,,
AEST,Spatial	 -> 	Time																														,,
AEDT,Spatial	 -> 	Time																														,,
NZDT,Spatial	 -> 	Time																														,,
NZST,Spatial	 -> 	Time																														,,
may,Focus	 -> 	Subjective	 -> 	Abstract																												,,
a,Focus																																,,
an,Focus																																,,
as,Action	 -> 	Currently	Occuring																													,,
is,Focus																																,,
am,Focus																																,,
of,Focus																																,,
this,Focus ||  Identity || Quantitative	 -> 	Singular || Focus ||  Identity																														,,
that,Focus ||  Identity || Quantitative	 -> 	Singular || Focus ||  Identity																														,,
the,Focus																																,,
alot,Quantitative	 -> 	Multiple	 -> 	Positive																												,,
for,Focus	 -> 	Focus	 -> 	Objective	 || 	Action	 -> 	Future/Forward	 || 	Focus	 || 	Quantitative	 -> 	Singular	 -> 	Positive																,,
and,Focus	 -> 	Focus	 -> 	Objective	 || 	Focus	 || 	Quantitative	 -> 	Singular	 -> 	Positive	 || Focus || 	Quantitative	 -> 	Multiple	 -> 	Positive														,,
nor,Focus	 -> 	Focus	 -> 	Objective	 || 	Action	 -> 	Future/Forward	 || 	Focus	 || 	Quantitative	 -> 	Singular	 -> 	Negative																,,
or,Focus	 -> 	Subjective	 || 	Quantitative	 -> 	Singular	 -> 	Negative	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Creative || 	Quantitative	 -> 	Singular	 -> 	Positive											,,
but,Focus	 -> 	Subjective	 || 	Quantitative	 -> 	Multiple	 -> 	Negative	 || 	Focus	 || 	Quantitative	 -> 	Multiple	 -> 	Positive																,,
yet,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative	 || 	Action	 -> 	Past/Occurred	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive || 	Action	 -> 	Future/Forward	 || Focus || 	Action	 -> 	Current	Occurring						,,
until,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative	 || 	Action	 -> 	Past/Occurred	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive || 	Action	 -> 	Future/Forward	 || Focus || 	Action	 -> 	Current	Occurring						,,
then,Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Negative	 || 	Action	 -> 	Past/Occurred	 || 	Focus	 -> 	Subjective	 -> 	Abstract	 -> 	Positive || 	Action	 -> 	Future/Forward	 || Focus || 	Action	 -> 	Current	Occurring || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual || Spatial,,
here,Spatial	 -> 	Close/Near	 -> 	Location	 || 	,Identity	 -> 	Closely	Related	 -> 	Self																					,
therefore,Focus	 -> 	Objective	 -> 	Immaterial || Focus	 -> 	Subjective || Quantitative	 -> 	Singular	 -> 	Positive || Focus	 -> 	Subjective || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual || Spatial || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual								,,
thus,Focus	 -> 	Objective	 -> 	Immaterial || Focus	 -> 	Subjective || Quantitative	 -> 	Singular	 -> 	Positive || Focus	 -> 	Subjective || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual								,,
although,Focus	 -> 	Objective	 -> 	Immaterial || Focus	 -> 	Subjective || Quantitative	 -> 	Singular	 -> 	Positive || Focus	 -> 	Subjective || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual														,,
so,Focus	 -> 	Objective	 -> 	Immaterial || Focus	 -> 	Subjective || Quantitative	 -> 	Singular	 -> 	Positive || Focus	 -> 	Subjective || Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual														,,
after,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual || Focus	 -> 	Subjective || Quantitative	 -> 	Singular	 -> 	Positive || Spatial || Focus	 -> 	Objective || Spatial || Focus	 -> 	Subjective || Quantitative	 -> 	Singular	 -> 	Positive												,,
while,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual || Quantitative	 -> 	Singular || Action	 -> 	Current/Occurring || Focus	Objective	 -> 	Immaterial	 -> 	Factual || Quantitative	 -> 	Singular || Spatial	 -> 	Time	Present || Quantitative	 -> 	Multiple	 -> 	Positive								,,
before,Focus	 -> 	Objective	 -> 	Immaterial	 -> 	Factual || Focus	 -> 	Subjective || Quantitative	 -> 	Singular	 -> 	Negative || Spatial || Focus	 -> 	Objective || Spatial || Focus	 -> 	Subjective || Quantitative	 -> 	Singular	 -> 	Negative												,,
accordion,Focus	 -> 	Objective	 -> 	Material	Object																											,,
airplane,Focus	 -> 	Objective	 -> 	Material	Object																											,,
alligator,Identity	 -> 	Species																														,,
ambulance,Focus	 -> 	Objective	 -> 	Material	Object																											,,
anchor,Focus	 -> 	Objective	 -> 	Material	Object																											,,
ant,Identity	 -> 	Species																														,,
apartment,Focus	 -> 	Objective	 -> 	Material	Object																											,,
apple,Focus	 -> 	Objective	 -> 	Material	Object																											,,
apron,Focus	 -> 	Objective	 -> 	Material	Object																											,,
armour,Focus	 -> 	Objective	 -> 	Material	Object																											,,
ashtray,Focus	 -> 	Objective	 -> 	Material	Object																											,,
asparagus,Focus	 -> 	Objective	 -> 	Material	Object																											,,
avocado,Focus	 -> 	Objective	 -> 	Material	Object																											,,
axe,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bag,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bagpipe,Focus	 -> 	Objective	 -> 	Material	Object																											,,
ball,Focus	 -> 	Objective	 -> 	Material	Object																											,,
balloon,Focus	 -> 	Objective	 -> 	Material	Object																											,,
banana,Focus	 -> 	Objective	 -> 	Material	Object																											,,
banjo,Focus	 -> 	Objective	 -> 	Material	Object																											,,
banner,Focus	 -> 	Objective	 -> 	Material	Object																											,,
barn,Focus	 -> 	Objective	 -> 	Material	Object																											,,
barrel,Focus	 -> 	Objective	 -> 	Material	Object																											,,
basement,Focus	 -> 	Objective	 -> 	Material	Object																											,,
basket,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bat_(animal),Identity	 -> 	Species																														,,
bat_(baseball),Focus	 -> 	Objective	 -> 	Material	Object																											,,
bathtub,Focus	 -> 	Objective	 -> 	Material	Object																											,,
baton,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bayonet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bazooka,Focus	 -> 	Objective	 -> 	Material	Object																											,,
beans,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bear,Identity	 -> 	Species																														,,
beaver,Identity	 -> 	Species																														,,
bed,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bedroom,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bee,Identity	 -> 	Species																														,,
beehive,Focus	 -> 	Objective	 -> 	Material	Object																											,,
beetle,Identity	 -> 	Species																														,,
beets,Focus	 -> 	Objective	 -> 	Material	Object																											,,
belt,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bench,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bike,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bin_(waste),Focus	 -> 	Objective	 -> 	Material	Object																											,,
birch,Focus	 -> 	Objective	 -> 	Material	Object																											,,
biscuit,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bison,Identity	 -> 	Species																														,,
blackbird,Identity	 -> 	Species																														,,
blender,Focus	 -> 	Objective	 -> 	Material	Object																											,,
blouse,Focus	 -> 	Objective	 -> 	Material	Object																											,,
blueberry,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bluejay,Identity	 -> 	Species																														,,
board_(black),Focus	 -> 	Objective	 -> 	Material	Object																											,,
board_(wood),Focus	 -> 	Objective	 -> 	Material	Object																											,,
boat,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bolts,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bomb,Focus	 -> 	Objective	 -> 	Material	Object																											,,
book,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bookcase,Focus	 -> 	Objective	 -> 	Material	Object																											,,
boots,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bottle,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bouquet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bow_(ribbon),Focus	 -> 	Objective	 -> 	Material	Object																											,,
bow_(weapon),Focus	 -> 	Objective	 -> 	Material	Object																											,,
bowl,Focus	 -> 	Objective	 -> 	Material	Object																											,,
box,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bra,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bracelet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bread,Focus	 -> 	Objective	 -> 	Material	Object																											,,
brick,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bridge,Focus	 -> 	Objective	 -> 	Material	Object																											,,
broccoli,Focus	 -> 	Objective	 -> 	Material	Object																											,,
broom,Focus	 -> 	Objective	 -> 	Material	Object																											,,
brush,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bucket,Focus	 -> 	Objective	 -> 	Material	Object																											,,
buckle,Focus	 -> 	Objective	 -> 	Material	Object																											,,
budgie,Focus	 -> 	Objective	 -> 	Material	Object																											,,
buffalo,Identity	 -> 	Species																														,,
buggy,Focus	 -> 	Objective	 -> 	Material	Object																											,,
building,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bull,Identity	 -> 	Species																														,,
bullet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bungalow,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bureau,Focus	 -> 	Objective	 -> 	Material	Object																											,,
bus,Focus	 -> 	Objective	 -> 	Material	Object																											,,
butterfly,Identity	 -> 	Species																														,,
buzzard,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cabbage,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cabin,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cabinet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cage,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cake,Focus	 -> 	Objective	 -> 	Material	Object																											,,
calf,Identity	 -> 	Species																														,,
camel,Identity	 -> 	Species																														,,
camisole,Focus	 -> 	Objective	 -> 	Material	Object																											,,
canary,Identity	 -> 	Species																														,,
candle,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cannon,Focus	 -> 	Objective	 -> 	Material	Object																											,,
canoe,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cantaloupe,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cap_(bottle),Focus	 -> 	Objective	 -> 	Material	Object																											,,
cap_(hat),Focus	 -> 	Objective	 -> 	Material	Object																											,,
cape,Focus	 -> 	Objective	 -> 	Material	Object																											,,
car,Focus	 -> 	Objective	 -> 	Material	Object																											,,
card_(greeting),Focus	 -> 	Objective	 -> 	Material	Object																											,,
caribou,Identity	 -> 	Species																														,,
carpet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
carrot,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cart,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cat,Identity	 -> 	Species																														,,
catapult,Focus	 -> 	Objective	 -> 	Material	Object																											,,
caterpillar,Identity	 -> 	Species																														,,
catfish,Identity	 -> 	Species																														,,
cathedral,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cauliflower,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cedar,Focus	 -> 	Objective	 -> 	Material	Object																											,,
celery,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cellar,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cello,Focus	 -> 	Objective	 -> 	Material	Object																											,,
certificate,Focus	 -> 	Objective	 -> 	Material	Object																											,,
chain,Focus	 -> 	Objective	 -> 	Material	Object																											,,
chair,Focus	 -> 	Objective	 -> 	Material	Object																											,,
chandelier,Focus	 -> 	Objective	 -> 	Material	Object																											,,
chapel,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cheese,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cheetah,Identity	 -> 	Species																														,,
cherry,Focus	 -> 	Objective	 -> 	Material	Object																											,,
chickadee,Identity	 -> 	Species																														,,
chicken,Identity	 -> 	Species																														,,
chimp,Identity	 -> 	Species																														,,
chipmunk,Identity	 -> 	Species																														,,
chisel,Focus	 -> 	Objective	 -> 	Material	Object																											,,
church,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cigar,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cigarette,Focus	 -> 	Objective	 -> 	Material	Object																											,,
clam,Identity	 -> 	Species																														,,
clamp,Focus	 -> 	Objective	 -> 	Material	Object																											,,
clarinet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cloak,Focus	 -> 	Objective	 -> 	Material	Object																											,,
clock,Focus	 -> 	Objective	 -> 	Material	Object																											,,
closet,Focus	 -> 	Objective	 -> 	Material	Object																											,,
coat,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cockroach,Identity	 -> 	Species																														,,
coconut,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cod,Identity	 -> 	Species																														,,
coin,Focus	 -> 	Objective	 -> 	Material	Object																											,,
colander,Focus	 -> 	Objective	 -> 	Material	Object																											,,
comb,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cork,Focus	 -> 	Objective	 -> 	Material	Object																											,,
corkscrew,Focus	 -> 	Objective	 -> 	Material	Object																											,,
corn,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cottage,Focus	 -> 	Objective	 -> 	Material	Object																											,,
couch,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cougar,Identity	 -> 	Species																														,,
cow,Identity	 -> 	Species																														,,
coyote,Identity	 -> 	Species																														,,
crab,Identity	 -> 	Species																														,,
cranberry,Focus	 -> 	Objective	 -> 	Material	Object																											,,
crane_(machine),Focus	 -> 	Objective	 -> 	Material	Object																											,,
crayon,Focus	 -> 	Objective	 -> 	Material	Object																											,,
crocodile,Identity	 -> 	Species																														,,
crossbow,Focus	 -> 	Objective	 -> 	Material	Object																											,,
crow,Identity	 -> 	Species																														,,
crowbar,Focus	 -> 	Objective	 -> 	Material	Object																											,,
crown,Focus	 -> 	Objective	 -> 	Material	Object																											,,
cucumber,Identity	 -> 	Species																														,,
